应分到ClassD_Pheromone_AlphaFac, 结果ClassC_CalcSense_Pheromone
应分到ClassC_CalcSense_Pheromone, 结果ClassC_BOSS_BOSS
应分到ClassC_PutPher_PutPher, 结果ClassC_CalcSense_Pheromone
应分到ClassA_Peptide_Prolactin, 结果ClassC_BOSS_BOSS
应分到ClassB_Vasocactive_Vasoactive, 结果ClassB_PACAP_PACAP
应分到ClassA_Interleukin8_Interleukin8, 结果ClassA_Peptide_Interleukin8
应分到ClassA_Lyso_LysoEdg7, 结果ClassA_Lyso_LysoEdg2
应分到ClassA_Peptide_Cholecystokinin, 结果ClassA_Peptide_Bombesin
应分到ClassC_PutPher_PutPher, 结果ClassA_Amine_Dopamine
应分到ClassA_Amine_Muscarinicacetylcholine, 结果ClassA_Amine_Serotonin
应分到ClassA_Peptide_Oxytocin, 结果ClassC_BOSS_BOSS
应分到ClassC_GABA_GABA, 结果ClassC_CalcSense_Pheromone
应分到ClassA_Peptide_Cholecystokinin, 结果ClassA_Peptide_SubstanceK
应分到ClassA_Fmetleuphe_Fmetleuphe, 结果ClassA_Peptide_fMetLeuPhe
应分到ClassA_Peptide_SubstanceP, 结果ClassA_Melaton_Melaton
应分到ClassA_Peptide_Interleukin8, 结果ClassA_Interleukin8_Interleukin8
应分到ClassA_Peptide_Prokineticin, 结果ClassA_Adrenergic_Adrenergic
应分到ClassC_CalcSense_Pheromone, 结果ClassC_BOSS_BOSS
应分到ClassA_Peptide_Interleukin8, 结果ClassA_Interleukin8_Interleukin8
应分到ClassB_Vasocactive_Vasoactive, 结果ClassA_Peptide_Chemokine
应分到ClassC_GlutaMeta_GlutaMeta, 结果ClassC_CalcSense_Pheromone
应分到ClassA_Interleukin8_Interleukin8, 结果ClassA_Peptide_Interleukin8
应分到ClassA_Interleukin8_Interleukin8, 结果ClassA_Peptide_Interleukin8
应分到ClassA_Amine_Histamine, 结果ClassA_Amine_MuscAcetyl
应分到ClassA_Peptide_Interleukin8, 结果ClassA_Interleukin8_Interleukin8
应分到ClassC_GABA_GABA, 结果ClassC_CalcSense_Pheromone
应分到ClassA_Amine_Serotonin, 结果ClassC_CalcSense_Pheromone
应分到ClassC_PutPher_PutPher, 结果ClassC_CalcSense_Pheromone
应分到ClassA_Fmetleuphe_Fmetleuphe, 结果ClassA_Peptide_fMetLeuPhe
应分到ClassA_Amine_Serotonin, 结果ClassA_Melaton_Melaton
应分到ClassC_BOSS_BOSS, 结果ClassC_CalcSense_Pheromone
应分到ClassA_Peptide_Interleukin8, 结果ClassA_Interleukin8_Interleukin8
应分到ClassA_Peptide_Interleukin8, 结果ClassA_Interleukin8_Interleukin8
应分到ClassA_Peptide_Chemokine, 结果ClassA_Amine_Muscarinicacetylcholine
应分到ClassA_Amine_Dopamine, 结果ClassC_BOSS_BOSS
应分到ClassA_Amine_Serotonin, 结果ClassA_Platelet_Platelet
应分到ClassC_PutPher_PutPher, 结果ClassC_CalcSense_Pheromone
应分到ClassC_GABA_GABA, 结果ClassC_PutPher_PutPher
应分到ClassC_CalcSense_Pheromone, 结果ClassC_PutPher_PutPher
应分到ClassA_Peptide_Neuromedin, 结果ClassA_Peptide_Tachykinin
应分到ClassC_GABA_GABA, 结果ClassC_CalcSense_Pheromone
应分到ClassA_Peptide_NeuromedinB-U, 结果ClassA_Peptide_Neuromedin
应分到ClassA_Amine_Muscarinicacetylcholine, 结果ClassA_Amine_Serotonin
应分到ClassA_Peptide_Neuropeptide, 结果ClassA_Peptide_Interleukin8
应分到ClassA_Amine_Serotonin, 结果ClassA_Hormone_Lutropin
应分到ClassC_CalcSense_Pheromone, 结果ClassC_PutPher_PutPher
应分到ClassA_Peptide_Interleukin8, 结果ClassA_Interleukin8_Interleukin8
应分到ClassB_Diuretic_Diuretic, 结果ClassC_CalcSense_Pheromone
应分到ClassA_Peptide_NeuromedinB-U, 结果ClassA_Peptide_Neuromedin
应分到ClassA_Cannabinoid_Cannabinoid, 结果ClassA_Olfactory_Olfactory
应分到ClassA_Interleukin8_Interleukin8, 结果ClassA_Peptide_Interleukin8
应分到ClassC_BOSS_BOSS, 结果ClassA_Amine_MuscAcetyl
应分到ClassA_Amine_Muscarinicacetylcholine, 结果ClassC_GlutaMeta_GlutaMeta
应分到ClassB_GrowthHorm_GrowthHorm, 结果ClassA_GRHR_GRHR
应分到ClassA_Interleukin8_Interleukin8, 结果ClassA_Peptide_Interleukin8
应分到ClassA_Interleukin8_Interleukin8, 结果ClassA_Peptide_Interleukin8
应分到ClassC_CalcSense_ExtraCalc, 结果ClassC_GlutaMeta_GlutaMeta
应分到ClassC_Taste_Taste, 结果ClassC_CalcSense_Pheromone
应分到ClassB_Vasocactive_Vasoactive, 结果ClassB_PACAP_PACAP
应分到ClassA_Peptide_Interleukin8, 结果ClassA_Interleukin8_Interleukin8
应分到ClassA_Amine_Serotonin, 结果ClassC_CalcSense_Pheromone
应分到ClassA_Amine_Dopamine, 结果ClassC_CalcSense_Pheromone
应分到ClassA_Hormone_Lutropin, 结果ClassA_Hormone_FollicleStim
应分到ClassA_Hormone_FollicleStim, 结果ClassC_GABA_GABA
应分到ClassA_Amine_Traceamine, 结果ClassA_Peptide_Angiotensin
应分到ClassA_Amine_Octopamine, 结果ClassA_Amine_Adrenoreceptor
应分到ClassA_Hormone_Gonadotrophin, 结果ClassA_Hormone_FollicleStim
应分到ClassA_Interleukin8_Interleukin8, 结果ClassA_Peptide_Interleukin8
应分到ClassA_Peptide_Interleukin8, 结果ClassA_Interleukin8_Interleukin8
应分到ClassA_Fmetleuphe_Fmetleuphe, 结果ClassA_Peptide_fMetLeuPhe
应分到ClassA_Peptide_Sulfakinin, 结果ClassA_Amine_MuscAcetyl
应分到ClassC_CalcSense_Pheromone, 结果ClassC_Taste_Taste
应分到ClassA_Interleukin8_Interleukin8, 结果ClassA_Peptide_Interleukin8
应分到ClassA_Amine_Dopamine, 结果ClassC_CalcSense_Pheromone
应分到ClassA_Peptide_Interleukin8, 结果ClassA_Interleukin8_Interleukin8
应分到ClassA_Peptide_Thrombin, 结果ClassA_Amine_Muscarinicacetylcholine
应分到ClassC_CalcSense_Pheromone, 结果ClassC_Taste_Taste
应分到ClassA_Interleukin8_Interleukin8, 结果ClassA_Peptide_Interleukin8
应分到ClassC_Taste_Taste, 结果ClassC_CalcSense_Pheromone
应分到ClassB_Latrophilin_Latrophilin, 结果ClassB_Cadherin_Cadherin
应分到ClassC_GABA_GABA, 结果ClassA_Amine_Muscarinicacetylcholine
应分到ClassA_Interleukin8_Interleukin8, 结果ClassA_Peptide_Interleukin8
应分到ClassA_Peptide_Interleukin8, 结果ClassA_Interleukin8_Interleukin8
应分到ClassC_GABA_GABA, 结果ClassA_Amine_Muscarinicacetylcholine
0.9497307001795332
family level:         0.9898264512268103
subfamily level:      0.9575104727707959
sub-subfamily level:  0.9497307001795332
